player_name,position,height,height_with_shoes,weight,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year
Patrick Baldwin Jr.,SF,206.38,208.92,104.69,217.8,280.67,8.9,22.22,24.13,2022
Paolo Banchero,PF,,,,,,,,,2022
Dominick Barlow,PF,205.1,207.64,100.24,220.98,275.59,5.9,22.86,26.67,2022
MarJon Beauchamp,SG,196.22,199.39,89.18,215.26,269.24,5.3,22.86,22.86,2022
Hugo Besson,SG,194.31,197.48,81.83,196.85,259.08,8.8,19.05,21.59,2022
Malaki Branham,SG,193.04,196.85,88.36,208.28,260.35,6.1,21.59,24.76,2022
Christian Braun,SG,196.85,200.66,94.89,199.39,252.73,6.2,20.32,21.59,2022
Kendall Brown,SF,198.76,201.93,91.26,210.82,261.62,4.9,22.86,22.86,2022
John Butler Jr.,PF,212.72,215.26,79.11,219.08,284.48,4.7,21.59,22.22,2022
Julian Champagnie,SF,198.76,202.56,96.34,208.28,271.78,7.1,22.22,23.5,2022
Kennedy Chandler,PG,181.61,184.15,78.11,196.22,246.38,4.4,21.59,24.13,2022
Max Christie,SG,193.68,197.48,85.82,205.1,260.35,4.8,20.32,21.59,2022
Kofi Cockburn,C,210.82,213.36,132.9,224.16,280.67,8.2,24.76,26.04,2022
Dyson Daniels,SG,198.12,201.93,88.54,209.55,266.7,4.9,21.59,24.76,2022
Johnny Davis,PG,193.68,197.48,89.09,204.47,262.89,6.7,21.59,26.04,2022
JD Davison,PG,184.15,189.23,87.0,199.39,252.73,7.8,21.59,24.13,2022
Darius Days,SF/PF,,,,,,,,,2022
Moussa Diabate,C,206.38,208.92,98.25,219.71,278.13,2.7,21.59,26.67,2022
Ousmane Dieng,SF,,,,,,,,,2022
Khalifa Diop,C,,,,,,,,,2022
Jalen Duren,C,,,,,,,,,2022
Tari Eason,PF,200.02,203.2,98.61,218.44,273.05,5.9,23.5,27.94,2022
Keon Ellis,SG,191.77,194.94,75.93,204.47,259.08,3.8,20.32,23.5,2022
Michael Foster Jr.,C,202.56,206.38,107.32,214.0,278.13,6.2,22.22,25.4,2022
Collin Gillespie,PG,186.69,189.86,88.81,193.04,248.92,8.6,20.96,22.86,2022
AJ Griffin,SF,,,,,,,,,2022
Jaden Hardy,SG,,,,,,,,,2022
Ron Harper Jr.,SF,193.04,196.85,109.04,216.54,267.97,14.3,24.13,25.4,2022
Chet Holmgren,PF,,,,,,,,,2022
Harrison Ingram,SF,196.22,200.66,105.6,214.0,262.89,8.3,22.86,25.4,2022
Jaden Ivey,PG,,,,,,,,,2022
Trayce Jackson-Davis,C,,,,,,,,,2022
Nikola Jovic,SF,207.01,210.82,100.97,214.0,275.59,7.4,22.22,24.76,2022
Johnny Juzang,SG,196.22,199.39,94.62,210.82,260.35,7.5,21.59,24.13,2022
Ismael Kamagate,PF,,,,,,,,,2022
Trevor Keels,SG,191.14,194.94,101.51,201.3,256.54,13.5,20.96,22.86,2022
Walker Kessler,C,214.0,215.9,116.12,224.16,287.02,14.7,21.59,21.59,2022
Christian Koloko,C,210.18,213.36,100.24,226.7,287.02,5.7,22.86,27.3,2022
Jake LaRavia,PF,200.02,203.2,103.06,207.01,264.16,9.0,21.59,26.04,2022
Justin Lewis,PF,198.76,201.93,106.78,219.71,267.97,7.3,22.86,26.67,2022
E.J. Liddell,PF,196.85,200.66,110.22,212.72,262.89,12.2,20.96,23.5,2022
Kenneth Lofton Jr.,PF/C,,,,,,,,,2022
Tyrese Martin,SG/SF,,,,,,,,,2022
Bennedict Mathurin,SG,194.31,198.12,92.8,205.74,264.16,5.7,21.59,24.76,2022
Matthew Mayer,SF,203.2,206.38,98.16,209.55,266.7,11.1,22.86,26.04,2022
Bryce McGowens,SG,196.22,199.39,82.19,205.1,262.89,5.4,22.22,24.13,2022
Leonard Miller,SF,204.47,208.28,95.71,218.44,270.51,5.7,23.5,26.67,2022
Josh Minnott,PF,,,,,,,,,2022
Aminu Mohammed,SG/SF,191.77,195.58,96.52,210.82,264.16,5.1,22.22,24.13,2022
Iverson Molinar,PG,188.6,191.14,83.1,203.2,256.54,4.8,21.59,24.13,2022
Jean Montero,PG,185.42,188.6,77.93,196.22,250.19,7.4,20.32,22.22,2022
Wendell Moore,SG,193.68,196.85,98.52,214.63,256.54,7.5,22.22,26.04,2022
Keegan Murray,PF,,,,,,,,,2022
Andrew Nembhard,PG,190.5,194.31,88.72,197.48,251.46,4.4,20.32,24.13,2022
Scotty Pippen Jr.,PG,182.88,186.69,81.65,197.48,242.57,5.3,19.68,22.86,2022
Gabriele Procida,SG/SF,197.48,202.56,87.45,203.2,269.24,3.8,20.32,23.5,2022
Jared Rhoden,SG/SF,,,,,,,,,2022
Orlando Robinson,C,207.64,210.82,110.86,223.52,281.94,9.5,22.22,25.4,2022
David Roddy,PF,194.31,198.12,118.3,212.09,266.7,11.6,22.22,25.4,2022
Ryan Rollins,SG,187.96,191.14,81.28,207.64,255.27,5.0,20.32,21.59,2022
Marcus Sasser,PG,,,,,,,,,2022
Dereon Seabron,SG,194.94,197.48,82.74,205.1,262.89,4.0,21.59,24.13,2022
Shaedon Sharpe,SG,193.68,196.22,89.81,212.09,262.89,4.8,22.86,23.5,2022
Terquavion Smith,SG,188.6,192.4,74.93,199.39,248.92,3.8,21.59,20.32,2022
Jabari Smith,PF,,,,,,,,,2022
Jeremy Sochan,PF,,,,,,,,,2022
Matteo Spagnolo,PG,193.04,196.85,88.99,203.2,259.08,8.6,20.96,25.4,2022
Julian Strawther,SF,197.48,200.66,94.17,207.01,265.43,7.9,20.96,21.59,2022
Dalen Terry,SG,198.12,201.3,88.54,215.26,269.24,5.4,21.59,22.86,2022
Drew Timme,C,203.84,206.38,105.05,218.44,273.05,15.7,22.86,25.4,2022
Jabari Walker,PF,200.02,203.2,96.98,210.18,266.7,12.1,22.22,24.76,2022
TyTy Washington Jr.,SG,188.6,192.4,89.09,203.2,252.73,12.0,21.59,23.5,2022
Peyton Watson,SF,200.02,203.2,92.26,214.63,273.05,5.2,21.59,24.13,2022
