player_name,position,height,height_with_shoes,weight,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year
DaQuan Jeffries,SF/PF,193.04,195.58,97.79,211.46,264.16,3.9,24.13,26.04,2019
Ty Jerome,PG,193.68,196.85,88.18,193.04,248.92,6.5,20.96,24.13,2019
Keldon Johnson,SG,194.94,198.12,98.16,206.38,264.16,5.6,20.32,23.5,2019
Cameron Johnson,SG,200.66,204.47,93.08,208.28,261.62,5.8,20.32,21.59,2019
Mfiondu Kabengele,PF,205.1,208.92,116.21,220.98,278.13,5.1,23.5,27.3,2019
Louis King,SF,200.02,203.2,88.54,214.0,265.43,4.8,20.32,21.59,2019
Romeo Langford,SG,194.31,198.12,,210.82,261.62,,22.86,22.86,2019
Dedric Lawson,PF,200.66,204.47,105.69,219.08,273.05,8.9,24.76,24.76,2019
Jalen Lecque,PG,189.23,193.68,84.01,204.47,250.19,4.0,22.22,21.59,2019
Nassir Little,SF,194.31,198.12,101.7,216.54,265.43,5.9,22.22,25.4,2019
Terance Mann,SG/SF,194.94,199.39,92.8,202.56,256.54,4.0,24.13,23.5,2019
Cody Martin,PG/SG,194.94,196.85,87.18,208.92,260.35,5.0,20.96,22.86,2019
Charles Matthews,SG,195.58,198.76,88.36,207.01,261.62,3.8,21.59,22.22,2019
Jalen McDaniels,SF,203.84,207.64,86.91,214.0,267.97,5.7,22.86,25.4,2019
Ja Morant,PG,,,,,,,,,2019
Zach Norvell Jr.,SG,194.31,196.85,93.62,198.12,256.54,7.5,21.59,24.13,2019
Jaylen Nowell,SG,191.14,193.68,91.81,201.3,248.92,6.1,20.96,21.59,2019
Jordan Nwora,PF,197.48,201.93,99.79,209.55,261.62,7.8,21.59,23.5,2019
Chuma Okeke,,,,,,,,,,2019
KZ Okpala,SF,201.3,207.01,95.07,217.8,270.51,4.6,23.5,23.5,2019
Miye Oni,SG,193.68,197.48,93.26,210.18,255.27,4.9,22.86,25.4,2019
Eric Paschall,SF,198.12,201.3,115.39,222.88,262.89,6.3,22.86,24.13,2019
Reggie Perry,SF/PF,203.2,206.38,113.76,214.63,269.24,6.7,22.86,25.4,2019
Shamorie Ponds,PG,181.61,184.15,81.65,191.77,245.11,9.8,19.68,20.32,2019
Jordan Poole,SG,191.77,196.85,86.55,200.02,252.73,7.5,20.96,21.59,2019
Jontay Porter,PF,207.64,210.82,95.44,213.36,278.13,8.5,22.22,24.13,2019
Kevin Porter Jr.,SG,193.04,196.85,96.43,205.74,261.62,5.1,22.22,22.22,2019
Neemias Queta,C,210.18,214.0,102.42,224.16,283.21,6.3,24.13,27.94,2019
Cameron Reddish,SF,199.39,203.2,94.26,214.63,267.97,4.7,22.86,22.86,2019
Naz Reid,PF,203.84,207.01,116.03,221.62,276.86,14.0,24.13,23.5,2019
Isaiah Roby,PF,201.3,204.47,97.07,215.9,269.24,3.9,22.86,26.67,2019
Luka Samanic,PF,207.01,210.82,103.06,209.55,271.78,5.6,21.59,22.86,2019
Admiral Schofield,SF,193.04,196.22,109.13,207.64,260.35,6.8,22.22,22.86,2019
Marial Shayok,SF/PF,194.31,196.85,89.27,214.0,262.89,4.7,22.22,23.5,2019
Simisola Shittu,PF,204.47,207.01,103.06,216.54,269.24,6.2,22.22,21.59,2019
Killian Tillie,,,,,,,,,,2019
P.J. Washington,PF,199.39,203.2,104.51,219.71,270.51,8.6,22.86,26.04,2019
Tremont Waters,PG,176.53,179.7,78.2,188.6,237.49,6.6,20.32,24.76,2019
Quinndary Weatherspoon,SG,190.5,193.68,93.71,205.74,254.0,6.1,21.59,22.86,2019
Coby White,PG,191.77,194.94,86.82,195.58,247.65,4.3,19.68,22.86,2019
Kris Wilkes,SF,198.76,202.56,94.71,210.18,261.62,4.9,21.59,24.13,2019
Grant Williams,PF,197.48,201.93,108.95,207.64,265.43,5.4,22.86,26.67,2019
Zion Williamson,PF,,,,,,,,,2019
Dylan Windler,SF,198.76,201.93,88.81,208.28,265.43,4.6,20.96,24.13,2019
Rawle Alkins,SG,189.86,193.68,98.61,205.1,251.46,8.9,21.59,25.4,2018
Grayson Allen,SG,190.5,194.31,89.81,201.3,246.38,5.55,20.96,25.4,2018
Kostas Antetokounmpo,PF,205.74,209.55,88.36,219.08,279.4,5.0,23.5,24.13,2018
Udoka Azubuike,C,208.28,214.0,124.19,231.14,285.75,7.95,24.13,25.4,2018
Mohamed Bamba,C,211.46,215.26,102.33,238.76,293.37,6.2,24.76,26.04,2018
Jaylen Barford,PG/SG,186.06,188.6,94.17,191.77,245.11,11.65,20.32,20.96,2018
Keita Bates-Diop,SG/SF,201.3,204.47,101.51,221.62,270.51,5.35,22.86,21.59,2018
Tyus Battle,SG,195.58,200.02,90.81,205.74,259.08,4.0,21.59,23.5,2018
Brian Bowen,SG/SF,198.76,201.93,91.63,208.92,262.89,7.6,22.86,25.4,2018
Miles Bridges,SF,196.22,200.02,99.97,207.01,262.89,5.9,22.86,24.76,2018
Bruce Brown,SG/PG,191.77,195.58,88.27,205.74,250.19,3.75,21.59,21.59,2018
Troy Brown,SF,197.48,200.02,94.35,208.92,266.7,7.05,22.86,24.76,2018
Jalen Brunson,PG,185.42,188.6,89.99,193.04,243.84,6.7,20.96,23.5,2018
Tony Carr,PG,190.5,194.31,90.17,203.84,254.0,6.5,21.59,24.76,2018
Jevon Carter,PG,183.52,186.69,88.99,193.68,241.3,4.15,23.5,21.59,2018
Wendell Carter,C/PF,205.1,208.28,114.03,224.79,276.86,7.85,21.59,22.86,2018
Donte DiVincenzo,SG,191.77,194.31,90.99,198.12,247.65,5.0,20.96,22.86,2018
Hamidou Diallo,SG,193.68,198.12,89.36,212.09,261.62,4.45,22.22,22.86,2018
Trevon Duval,PG,186.69,189.23,86.64,203.84,247.65,5.2,22.22,25.4,2018
Carsen Edwards,PG,179.7,182.88,88.72,198.76,240.03,6.3,21.59,23.5,2018
Keenan Evans,PG,186.69,190.5,83.1,196.22,248.92,6.5,21.59,20.32,2018
Jacob Evans,SG/SF,193.68,196.85,90.54,206.38,260.35,6.5,22.86,23.5,2018
Bruno Fernando,C,205.1,207.64,105.78,224.16,276.86,5.25,24.13,25.4,2018
Melvin Frazier,SF/SG,194.31,198.12,89.9,217.8,266.7,7.9,24.13,24.13,2018
Shai Gilgeous-Alexander,PG,194.31,198.12,81.65,212.09,264.16,3.0,22.86,22.86,2018
Devonte Graham,PG,183.52,186.69,84.55,198.76,243.84,4.8,21.59,24.13,2018
Isaac Haas,C,216.54,220.34,137.44,226.06,283.21,12.55,25.4,26.67,2018
Devon Hall,SG,193.68,198.12,93.62,202.56,259.08,8.45,21.59,25.4,2018
Jaylen Hands,PG,186.69,189.86,81.19,196.85,248.92,5.0,20.32,20.32,2018
Kevin Hervey,PF,199.39,202.56,95.98,222.25,271.78,5.15,23.5,26.04,2018
Aaron Holiday,PG,182.24,184.78,84.82,201.93,246.38,6.4,22.22,21.59,2018
Kevin Huerter,SG,198.76,201.3,88.0,201.93,257.81,8.6,20.96,21.59,2018
Jaren Jackson,PF/C,207.64,211.46,107.05,226.7,279.4,7.2,25.4,25.4,2018
Justin Jackson,PF,198.12,200.02,104.05,220.98,266.7,8.9,22.86,24.13,2018
Alize Johnson,PF,201.3,203.2,98.25,205.1,261.62,8.1,21.59,24.76,2018
George King,SF/SG,194.94,198.12,99.16,212.09,257.81,7.25,22.86,26.04,2018
Kevin Knox,SF,202.56,205.74,96.43,212.72,274.32,4.95,22.22,23.5,2018
Sagaba Konate,C,199.39,201.93,111.58,213.36,270.51,7.35,23.5,25.4,2018
Caleb Martin,SF/SG,194.94,198.12,88.81,208.28,257.81,7.0,21.59,22.22,2018
Cody Martin,SG/SF,194.94,198.12,85.55,208.92,260.35,5.45,21.59,22.86,2018
Yante Maten,PF/C,201.3,204.47,111.67,214.63,273.05,8.1,23.5,25.4,2018
Brandon McCoy,C,212.09,214.63,113.58,218.44,280.67,8.7,24.76,24.13,2018
DeAnthony Melton,SG/PG,188.6,191.14,87.63,204.47,252.73,5.2,21.59,24.13,2018
Chimezie Metu,PF/C,204.47,207.01,99.61,214.63,274.32,5.05,22.86,23.5,2018
Shake Milton,SG/PG,194.31,196.85,93.98,215.26,252.73,6.8,22.22,24.13,2018
Sviatoslav Mykhailiuk,SG/SF,199.39,202.56,95.98,194.94,254.0,8.45,20.96,24.13,2018
Malik Newman,SG,189.23,191.14,85.82,196.85,250.19,6.25,21.59,24.13,2018
Josh Okogie,SG,190.5,194.31,95.62,213.36,259.08,5.2,22.86,24.76,2018
Theo Pinson,SG/SF,195.58,200.02,95.8,210.18,262.89,7.35,22.86,22.86,2018
Jontay Porter,C/PF,208.28,212.09,107.05,214.0,276.86,13.85,22.22,24.13,2018
Michael Porter,SF/PF,207.01,210.18,95.71,214.0,275.59,6.4,22.22,23.5,2018
Billy Preston,PF,205.1,209.55,100.88,218.44,274.32,5.45,23.5,24.13,2018
Jerome Robinson,SG,193.04,195.58,85.46,201.3,248.92,6.05,22.86,25.4,2018
Collin Sexton,PG,184.15,186.69,83.01,201.3,250.19,5.6,20.96,21.59,2018
Landry Shamet,PG,193.04,196.22,85.55,200.02,254.0,4.85,20.32,22.86,2018
Anfernee Simons,SG/PG,188.6,191.14,83.1,206.38,252.73,7.7,22.22,22.86,2018
Zhaire Smith,SF/SG,189.86,193.04,90.08,207.64,254.0,6.05,22.22,20.96,2018
Ray Spalding,PF,205.74,208.92,97.7,225.42,276.86,5.55,23.5,22.86,2018
Omari Spellman,PF/C,203.2,206.38,115.12,218.44,273.05,13.75,22.86,22.86,2018
Khyri Thomas,SG,189.23,192.4,90.17,209.55,256.54,6.4,22.22,23.5,2018
Gary Trent,SG,193.68,197.48,92.62,205.1,248.92,7.0,21.59,24.13,2018
Allonzo Trier,SG,192.4,196.22,89.81,200.02,248.92,4.95,20.96,26.67,2018
Moritz Wagner,C/PF,209.55,212.09,109.5,213.36,274.32,6.75,22.86,27.3,2018
Lonnie Walker,SG,192.4,194.31,88.99,208.92,252.73,5.65,22.86,24.13,2018
PJ Washington,PF,199.39,203.2,101.15,219.71,271.78,6.85,22.86,26.04,2018
Austin Wiley,C,203.84,208.28,113.13,226.06,281.94,5.0,24.76,26.04,2018
Kris Wilkes,SF,199.39,201.93,92.99,208.92,262.89,5.15,22.22,23.5,2018
Kenrich Williams,SF,198.12,201.93,90.9,201.3,262.89,5.95,21.59,24.76,2018
Trae Young,PG,184.15,187.32,80.65,190.5,242.57,5.35,20.32,23.5,2018
Edrice Adebayo,PF/C,205.1,192.4,110.04,220.34,274.32,5.2,24.13,22.22,2017
Rawle Alkins,SG/SF,189.23,192.4,100.97,205.1,251.46,11.0,22.22,25.4,2017
Jarrett Allen,C,205.74,208.92,105.96,226.7,278.13,7.4,24.13,26.67,2017
Kadeem Allen,PG,185.42,188.6,87.27,206.38,252.73,6.4,21.59,22.22,2017
Ike Anigbogu,C,204.47,207.64,114.4,229.24,280.67,5.4,24.13,25.4,2017
OG Anunoby,SF,198.76,202.56,105.41,219.08,273.05,6.8,23.5,24.13,2017
Jamel Artis,SG/SF,196.85,200.02,96.71,208.28,266.7,11.9,23.5,24.76,2017
Dwayne Bacon,SG/SF,194.94,198.76,100.52,208.28,262.89,7.9,22.22,25.4,2017
V.J. Beachem,SG/SF,198.76,203.2,87.72,208.92,265.43,6.8,21.59,22.86,2017
Jordan Bell,PF,200.66,204.47,101.42,212.72,265.43,5.4,23.5,24.13,2017
Jaron Blossomgame,SF,197.48,200.02,99.16,208.28,265.43,5.7,22.22,26.04,2017
Chris Boucher,PF,203.2,207.01,82.64,223.52,280.67,5.4,23.5,26.67,2017
Tony Bradley,C,206.38,210.18,112.85,226.06,285.75,12.0,24.13,24.13,2017
Isaiah Briscoe,PG,186.06,189.86,100.88,205.74,252.73,11.0,22.86,23.5,2017
Dillon Brooks,SG/SF,195.58,198.12,99.88,198.12,255.27,7.5,20.96,23.5,2017
Thomas Bryant,PF/C,207.01,210.18,112.4,228.6,285.75,9.4,24.13,26.04,2017
Zach Collins,PF/C,208.92,213.36,105.32,215.9,281.94,8.9,22.22,23.5,2017
John Collins,PF,203.84,207.01,102.15,211.46,270.51,5.4,22.86,25.4,2017
Hamidou Diallo,SG/SF,192.4,195.58,89.54,211.46,257.81,5.2,21.59,24.13,2017
Tyler Dorsey,SG,190.5,194.31,82.83,196.22,252.73,4.7,21.59,23.5,2017
Damyean Dotson,SG/SF,194.31,196.85,93.08,205.74,254.0,5.3,21.59,23.5,2017
PJ Dozier,SG,196.22,200.02,90.99,210.82,256.54,6.1,21.59,24.13,2017
Jawun Evans,PG,179.7,181.61,84.01,196.85,241.3,9.1,20.32,19.68,2017
Terrance Ferguson,SG/SF,196.85,200.66,83.64,205.1,261.62,5.8,21.59,25.4,2017
De?Aaron Fox,PG,187.96,191.14,76.93,199.39,254.0,4.5,21.59,21.59,2017
Markelle Fultz,PG,,,,,,,,,2017
Harry Giles,PF,206.38,209.55,105.23,221.62,278.13,5.2,24.13,27.3,2017
Josh Hart,SG/SF,192.4,195.58,94.89,203.84,256.54,5.8,21.59,24.13,2017
Nigel Hayes,PF,198.76,201.93,115.3,221.62,265.43,11.5,22.22,25.4,2017
Isaiah Hicks,PF,201.3,204.47,105.87,214.63,266.7,7.7,22.22,24.76,2017
Wesley Iwundu,SG/SF,196.85,200.02,87.72,215.9,267.97,4.0,22.22,24.13,2017
Frank Jackson,PG,187.96,191.77,91.44,201.93,248.92,6.7,20.96,22.86,2017
Justin Jackson (UMD),SF,197.48,200.66,99.52,221.62,271.78,7.1,22.86,24.13,2017
Justin Jackson (UNC),SF,200.66,203.84,91.08,210.82,265.43,8.1,22.22,23.5,2017
Peter Jok,SG/SF,193.68,197.48,91.81,203.2,259.08,11.0,20.96,24.13,2017
Luke Kennard,SG/SF,194.31,196.85,88.99,196.22,250.19,6.6,20.32,22.22,2017
Kyle Kuzma,SF/SG,203.2,207.01,100.97,214.0,273.05,9.4,21.59,24.13,2017
TJ Leaf,PF,205.1,207.64,100.79,210.82,271.78,6.8,21.59,24.13,2017
Tyler Lydon,PF,203.84,207.01,97.52,213.36,273.05,13.6,22.22,22.22,2017
Frank Mason III,PG,180.34,182.88,85.64,191.14,238.76,4.3,20.32,23.5,2017
Kennedy Meeks,C,205.1,208.92,125.46,215.9,269.24,11.5,22.22,22.22,2017
Donovan Mitchell,SG,186.06,190.5,95.89,208.28,246.38,5.9,21.59,24.13,2017
Monte Morris,PG,186.06,189.23,79.47,193.04,245.11,6.9,20.96,22.22,2017
Johnathan Motley,PF,202.56,205.1,108.05,223.52,274.32,,22.86,24.13,2017
Svi Mykhailiuk,SG/SF,199.39,201.93,99.61,195.58,254.0,11.4,20.32,23.5,2017
Semi Ojeleye,SF/SG,196.22,200.02,109.5,207.64,259.08,5.5,22.22,24.13,2017
Cameron Oliver,PF,200.66,203.84,108.23,216.54,270.51,7.7,24.13,26.04,2017
Justin Patton,C,208.28,211.46,103.87,220.98,283.21,7.8,22.22,24.76,2017
Alec Peters,PF,201.3,205.1,105.23,210.18,266.7,8.8,22.22,25.4,2017
Ivan Rabb,PF,205.1,208.28,99.61,217.17,276.86,6.8,22.22,22.86,2017
Davon Reed,SG/SF,194.31,196.85,93.53,213.36,259.08,6.5,23.5,24.13,2017
Devin Robinson,SF,200.66,203.84,86.0,215.26,269.24,3.2,23.5,26.04,2017
Kobi Simmons,PG,191.14,194.31,75.39,198.12,251.46,5.0,21.59,24.13,2017
Edmond Sumner,PG,193.04,197.48,80.01,205.74,260.35,8.3,20.96,22.86,2017
Caleb Swanigan,PF,201.93,204.47,111.4,220.98,274.32,,24.13,26.04,2017
Sindarius Thornwell,SG/SF,191.77,194.94,95.98,208.28,261.62,7.8,22.22,22.22,2017
Melo Trimble,PG,186.06,189.23,88.54,187.96,242.57,10.6,20.32,22.22,2017
Moritz Wagner,PF,208.28,211.46,104.87,213.36,274.32,6.7,22.22,27.3,2017
Derrick Walton Jr.,PG,180.34,184.78,85.55,189.23,241.3,5.8,20.32,21.59,2017
Thomas Welsh,PF/C,212.09,214.63,115.21,213.36,278.13,10.9,22.86,26.67,2017
Derrick White,PG,191.14,194.31,86.09,201.93,257.81,6.2,20.96,21.59,2017
Nigel Williams-Goss,PG,186.69,190.5,86.27,201.3,251.46,5.6,22.22,23.5,2017
D.J. Wilson,PF,205.1,209.55,106.32,220.98,278.13,6.4,23.5,26.04,2017
Omer Yurtseven,C,209.55,212.72,112.67,215.9,275.59,7.6,22.86,26.67,2017
Ron Baker,SG,191.14,193.68,96.34,207.64,247.65,7.85,22.22,24.13,2016
Wade Baldwin IV,PG,189.23,193.04,91.53,211.46,254.0,5.2,22.86,24.76,2016
Cat Barber,PG,186.69,189.86,78.47,196.85,242.57,4.5,20.32,21.59,2016
Malik Beasley,SG,191.77,194.31,86.09,200.66,255.27,6.9,21.59,22.86,2016
DeAndre Bembry,SG/SF,193.68,197.48,93.71,206.38,256.54,7.0,20.32,23.5,2016
Ben Bentil,PF,201.3,203.84,103.96,217.17,266.7,9.7,24.13,25.4,2016
Jaron Blossomgame,SF,198.76,201.3,96.89,208.28,259.08,5.25,21.59,25.4,2016
Joel Bolomboy,PF,201.93,205.74,101.79,217.8,262.89,5.15,22.86,26.04,2016
Malcolm Brogdon,SG,192.4,196.85,101.15,209.55,248.92,5.4,22.86,26.04,2016
Jaylen Brown,SG/SF,196.22,200.02,101.06,212.72,260.35,5.05,22.22,22.86,2016
Marquese Chriss,PF,205.1,208.28,105.69,214.0,266.7,8.5,22.86,22.86,2016
Elgin Cook,SF,195.58,198.76,95.16,208.28,255.27,6.35,21.59,26.04,2016
Isaiah Cousins,PG,191.14,194.31,88.0,198.76,250.19,4.8,20.96,22.22,2016
Deyonta Davis,PF,206.38,209.55,107.59,219.71,275.59,9.7,22.86,23.5,2016
Cheick Diallo,PF,201.93,205.74,99.16,224.79,273.05,5.6,21.59,24.76,2016
Kris Dunn,PG,190.5,193.68,,207.01,254.0,,,,2016
Henry Ellenson,PF,208.28,212.09,109.77,219.08,274.32,11.2,21.59,24.76,2016
Perry Ellis,PF,200.66,203.84,98.79,208.92,259.08,4.6,20.32,21.59,2016
Kay Felder,PG,173.36,176.53,80.38,189.23,224.79,5.8,20.96,21.59,2016
Dorian Finney-Smith,SF,199.39,202.56,96.43,212.72,267.97,6.45,22.86,24.76,2016
Michael Gbinije,SG,196.85,200.02,92.8,201.93,256.54,5.4,20.32,22.86,2016
Daniel Hamilton,SG/SF,198.76,203.2,89.36,205.74,262.89,5.95,22.86,21.59,2016
Josh Hart,SG,193.04,196.85,92.35,204.47,252.73,5.75,21.59,23.5,2016
Nigel Hayes,SF/PF,198.76,201.3,111.13,220.98,273.05,10.9,21.59,24.13,2016
Buddy Hield,SG,192.4,195.58,96.34,206.38,256.54,6.1,21.59,22.86,2016
Justin Jackson,SF,200.66,203.84,87.72,210.18,262.89,7.6,22.22,22.22,2016
Demetrius Jackson,PG,182.88,186.06,87.91,196.85,236.22,6.5,20.96,22.86,2016
Brice Johnson,PF,205.74,209.55,94.62,214.63,270.51,7.5,22.86,20.96,2016
Damian Jones,C,208.92,212.09,110.5,222.88,271.78,6.55,22.22,26.67,2016
Skal Labissiere,PF/C,209.55,212.72,97.89,219.71,267.97,5.7,22.22,22.86,2016
Jake Layman,SF,203.2,206.38,94.62,206.38,259.08,7.1,20.96,23.5,2016
Caris LeVert,SG,197.48,200.66,86.64,208.28,256.54,7.55,21.59,23.5,2016
Marcus Lee,PF/C,205.74,208.92,95.71,220.98,273.05,5.35,22.86,22.86,2016
Thon Maker,PF,212.72,215.26,97.98,220.98,280.67,6.05,22.22,24.13,2016
Patrick McCaw,PG/SG,196.22,200.02,82.01,208.28,255.27,4.7,22.22,22.22,2016
Malik Newman,SG,188.6,191.77,82.64,197.48,247.65,5.6,20.96,23.5,2016
Georges Niang,PF,200.02,204.47,104.69,208.28,261.62,10.05,23.5,23.5,2016
Chinanu Onuaku,C,205.74,208.28,111.22,220.34,275.59,8.55,22.86,20.32,2016
Marcus Paige,PG,184.15,187.32,74.3,198.76,246.38,4.3,19.68,22.22,2016
Gary Payton II,PG,187.96,190.5,83.37,203.2,252.73,3.95,22.22,24.13,2016
Jakob Poeltl,C,214.0,215.9,108.41,220.34,283.21,5.8,23.5,26.04,2016
Taurean Prince,SF,199.39,202.56,99.88,212.09,259.08,6.45,22.86,21.59,2016
Zhou Qi,PF/C,216.54,219.08,98.97,233.04,285.75,4.85,23.5,24.13,2016
Malachi Richardson,SG/SF,194.94,198.76,90.54,213.36,257.81,7.0,22.22,25.4,2016
Wayne Selden,SG,193.68,197.48,105.41,209.55,256.54,7.3,22.86,23.5,2016
Pascal Siakam,PF,203.84,207.01,102.78,221.62,273.05,5.2,23.5,25.4,2016
Diamond Stone,C,205.74,208.92,115.39,220.34,275.59,12.85,21.59,19.68,2016
Caleb Swanigan,PF,201.93,204.47,111.86,222.25,271.78,12.55,22.86,26.04,2016
Melo Trimble,PG,186.06,189.23,87.0,187.96,234.95,8.35,20.32,22.22,2016
Tyler Ulis,PG,174.62,177.8,67.68,187.96,224.79,5.2,19.05,19.05,2016
Jarrod Uthoff,PF,204.47,207.64,97.25,212.09,264.16,6.0,22.22,22.86,2016
Denzel Valentine,SG/SF,193.04,197.48,95.44,210.18,259.08,9.2,21.59,24.76,2016
Isaiah Whitehead,PG/SG,191.14,194.31,95.25,205.1,254.0,9.25,21.59,22.22,2016
Troy Williams,SF,197.48,200.02,98.79,203.84,259.08,10.0,20.96,23.5,2016
Kyle Wiltjer,PF,205.1,208.28,110.13,214.0,260.35,15.25,20.96,24.13,2016
Stephen Zimmerman,C,208.92,212.72,106.14,221.62,275.59,11.15,22.86,22.86,2016
Cliff Alexander,PF/C,201.3,204.47,108.5,222.25,278.13,5.8,24.13,26.04,2015
Justin Anderson,SF/SG,196.22,198.76,104.6,212.72,256.54,5.0,21.59,24.13,2015
Brandon Ashley,PF,201.3,204.47,103.42,222.88,266.7,8.8,22.86,24.13,2015
Ryan Boatright,PG,177.8,180.34,76.93,184.15,234.95,6.6,19.05,22.22,2015
Devin Booker,SG,194.31,197.48,93.35,203.84,260.35,8.3,22.22,22.86,2015
Anthony Brown,SF/SG,197.48,201.3,95.71,210.82,265.43,6.1,21.59,22.86,2015
Willie Cauley-Stein,C,211.46,214.63,109.95,220.98,281.94,6.3,24.13,22.86,2015
Rakeem Christmas,PF/C,203.84,207.64,110.04,226.7,280.67,9.6,23.5,22.86,2015
Pat Connaughton,SG,193.04,196.22,97.52,203.2,243.84,10.2,21.59,23.5,2015
Quinn Cook,PG,183.52,187.96,81.19,193.04,245.11,6.7,19.05,22.22,2015
Branden Dawson,PF,196.85,200.02,104.42,210.82,266.7,5.8,22.86,22.22,2015
Sam Dekker,SF,202.56,205.74,99.16,212.09,269.24,7.5,21.59,23.5,2015
Michael Frazier II,SG,192.4,193.68,90.45,203.2,257.81,7.4,20.96,23.5,2015
Treveon Graham,SF,193.04,197.48,99.52,209.55,261.62,5.5,21.59,20.96,2015
Jerian Grant,PG,191.14,193.68,89.81,201.93,254.0,5.6,20.96,21.59,2015
Olivier Hanlan,PG/SG,191.14,193.68,84.28,198.12,254.0,4.3,20.32,22.22,2015
Montrezl Harrell,PF,200.66,201.93,114.94,224.16,276.86,11.9,22.86,24.76,2015
Andrew Harrison,PG,194.31,196.85,96.71,205.74,254.0,5.9,20.96,23.5,2015
Aaron Harrison,SG,194.31,198.12,94.89,203.84,255.27,6.0,22.22,25.4,2015
Tyler Harvey,SG,189.86,193.04,82.28,196.85,250.19,9.2,19.68,22.22,2015
Corey Hawkins,SG/PG,184.78,187.32,87.0,203.2,252.73,5.5,22.22,22.86,2015
Rondae Hollis-Jefferson,SF,196.85,200.66,95.62,218.44,264.16,5.0,22.22,24.76,2015
Richaun Holmes,PF,203.84,207.01,110.13,217.17,274.32,8.8,21.59,21.59,2015
Jonathan Holmes,PF/SF,203.84,206.38,109.86,212.09,273.05,7.2,20.96,24.13,2015
R.J. Hunter,SG,194.31,198.12,83.91,209.55,264.16,6.0,21.59,20.96,2015
Vince Hunter,PF,200.02,201.93,94.53,210.82,265.43,4.6,22.86,22.22,2015
Dakari Johnson,C,210.82,212.72,120.02,218.44,284.48,14.9,23.5,26.67,2015
Stanley Johnson,SF,195.58,199.39,109.68,212.09,259.08,7.5,22.86,22.86,2015
Tyus Jones,PG,184.15,187.96,83.73,195.58,246.38,6.5,20.96,22.22,2015
Frank Kaminsky,C/PF,212.72,215.26,104.87,210.82,278.13,9.4,21.59,24.13,2015
Kevon Looney,PF,203.2,206.38,100.88,222.25,279.4,11.9,24.13,23.5,2015
Trey Lyles,PF,205.74,208.92,109.41,217.17,274.32,12.1,23.5,26.04,2015
Jarell Martin,PF,203.2,206.38,108.23,205.74,270.51,10.1,20.96,24.13,2015
TJ McConnell,PG,184.15,187.96,85.18,187.96,245.11,7.3,19.05,17.78,2015
Chris McCullough,PF,203.84,205.74,90.26,221.62,276.86,6.2,22.22,22.22,2015
Jordan Mickey,PF,200.66,203.84,107.95,221.62,269.24,7.2,22.22,24.13,2015
Larry Nance,PF,201.93,204.47,102.78,217.17,274.32,6.4,22.86,24.76,2015
Kelly Oubre,SF/SG,197.48,200.02,91.99,219.08,260.35,5.7,22.86,22.22,2015
Cameron Payne,PG,184.78,186.69,82.92,201.3,247.65,6.3,21.59,20.96,2015
Terran Petteway,SG,194.94,198.12,94.89,211.46,265.43,4.9,20.96,20.96,2015
Bobby Portis,PF,207.01,209.55,111.67,218.44,275.59,8.9,24.13,23.5,2015
Norman Powell,SG,190.5,193.68,97.7,210.18,260.35,6.4,23.5,22.86,2015
Michael Qualls,SG/SF,193.04,195.58,91.35,214.0,265.43,4.0,22.86,26.04,2015
Chasson Randle,PG,183.52,186.69,81.1,200.66,245.11,4.5,21.59,24.13,2015
Terry Rozier,PG/SG,184.15,188.6,86.27,203.84,250.19,5.6,20.96,21.59,2015
D?Angelo Russell,PG/SG,191.14,195.58,87.72,207.64,259.08,8.3,22.22,24.76,2015
Keifer Sykes,PG,179.07,182.24,75.84,187.96,236.22,5.0,21.59,24.13,2015
Marcus Thornton,PG/SG,187.32,189.86,80.47,202.56,247.65,5.3,20.96,21.59,2015
J.P. Tokoto,SF/SG,196.22,198.76,88.81,208.28,255.27,4.1,20.32,22.22,2015
Myles Turner,C/PF,207.64,212.09,108.23,223.52,284.48,9.3,23.5,23.5,2015
Robert Upshaw,C,210.18,213.36,117.12,227.33,287.02,12.5,25.4,27.94,2015
Rashad Vaughn,SG,192.4,195.58,90.08,200.66,256.54,6.2,20.32,21.59,2015
Chris Walker,PF,205.1,206.38,94.35,220.34,274.32,5.1,22.86,22.86,2015
Dez Wells,SG,190.5,193.04,94.71,207.01,255.27,8.1,22.22,24.76,2015
Alan Williams,PF,201.3,203.84,118.57,217.8,270.51,12.0,21.59,24.13,2015
Justise Winslow,SF,194.31,199.39,100.61,208.92,265.43,5.3,21.59,23.5,2015
Christian Wood,PF,206.38,209.55,97.98,221.62,283.21,14.7,23.5,27.3,2015
Delon Wright,PG,193.68,196.85,82.28,201.93,257.81,6.6,20.32,21.59,2015
Jordan Adams,SG,191.77,194.94,94.71,208.28,259.08,10.8,21.59,19.05,2014
Kyle Anderson,SF,201.93,204.47,104.37,220.34,273.05,13.35,20.96,22.22,2014
Thanasis Antetokounmpo,SF,196.22,198.76,93.08,213.36,265.43,6.05,22.86,24.76,2014
Jordan Bachynski,PF,216.54,218.44,115.26,223.52,275.59,7.45,23.5,25.4,2014
Cameron Bairstow,PF,205.1,207.64,114.49,215.26,271.78,8.7,22.22,22.86,2014
Khem Birch,PF,201.93,206.38,94.71,215.9,271.78,6.0,22.86,21.59,2014
