League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_date,height_cm,weight_stats,weight_kg,nationality,high_school,draft_round,draft_pick,draft_team,player_norm,position,height_anthro,height_with_shoes,weight_anthro,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year,FGM_per_min,FGA_per_min,3PM_per_min,3PA_per_min,FTM_per_min,FTA_per_min,TOV_per_min,PF_per_min,ORB_per_min,DRB_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,PTS_per_min,TEAM_ATL,TEAM_BOS,TEAM_BRK,TEAM_CHA,TEAM_CHI,TEAM_CLE,TEAM_DAL,TEAM_DEN,TEAM_DET,TEAM_GSW,TEAM_HOU,TEAM_IND,TEAM_LAC,TEAM_LAL,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_NYK,TEAM_OKC,TEAM_ORL,TEAM_OTHER,TEAM_PHI,TEAM_PHX,TEAM_POR,TEAM_SAC,TEAM_SAS,TEAM_TOR,TEAM_UTA,TEAM_WAS
NBA,2015 - 2016,Playoffs,Jared Sullinger,BOS,6,81.5,13,42,2,4,3,4,6,16,10,17,27,7,1,0,31,04.03.1992,206.0,260.0,118.0,United States,Northland High School,1.0,21.0,Boston Celtics,jared sullinger,PF,202.56,205.74,121.65,216.54,267.97,10.7,23.5,24.76,2012,0.159509,0.515337,0.02454,0.04908,0.03681,0.04908,0.07362,0.196319,0.122699,0.208589,0.331288,0.08589,0.01227,0.0,0.380368,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,James Johnson,TOR,10,97.6,12,25,4,9,2,3,7,13,3,12,15,6,3,0,30,20.02.1987,203.0,240.0,109.0,United States,Cheyenne East High School,1.0,16.0,Chicago Bulls,james johnson,SF/PF,200.66,202.56,116.66,215.26,267.97,12.0,,,2009,0.122951,0.256148,0.040984,0.092213,0.020492,0.030738,0.071721,0.133197,0.030738,0.122951,0.153689,0.061475,0.030738,0.0,0.307377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NBA,2015 - 2016,Playoffs,Amar'e Stoudemire,MIA,9,82.3,11,19,0,0,8,8,9,14,3,10,13,0,5,3,30,16.11.1982,208.0,245.0,111.0,United States,Cypress Creek High School,1.0,9.0,Phoenix Suns,amare stoudemire,PF,204.47,,105.69,217.8,275.59,,,,2002,0.133657,0.230863,0.0,0.0,0.097205,0.097205,0.109356,0.170109,0.036452,0.121507,0.157959,0.0,0.060753,0.036452,0.36452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Tony Allen,MEM,4,93.5,10,33,1,7,9,13,6,11,6,5,11,3,5,2,30,11.01.1982,193.0,213.0,97.0,United States,Crane High School,1.0,25.0,Boston Celtics,tony allen,SG,191.77,193.68,97.07,205.74,259.08,6.7,,,2004,0.106952,0.352941,0.010695,0.074866,0.096257,0.139037,0.064171,0.117647,0.064171,0.053476,0.117647,0.032086,0.053476,0.02139,0.320856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,JaMychal Green,MEM,4,72.2,12,22,0,1,3,6,4,12,5,10,15,3,3,5,27,21.06.1990,206.0,227.0,103.0,United States,St. Jude High School,,,,jamychal green,PF,203.2,205.74,98.61,219.08,270.51,9.8,23.5,23.5,2012,0.166205,0.304709,0.0,0.01385,0.041551,0.083102,0.055402,0.166205,0.069252,0.138504,0.207756,0.041551,0.041551,0.069252,0.373961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Jordan Farmar,MEM,4,113.2,10,31,4,12,3,3,10,4,0,6,6,16,3,1,27,30.11.1986,188.0,180.0,82.0,United States,William Howard Taft High School,1.0,26.0,Los Angeles Lakers,jordan farmar,PG,184.78,187.96,77.56,190.5,240.03,4.4,,,2006,0.088339,0.273852,0.035336,0.106007,0.026502,0.026502,0.088339,0.035336,0.0,0.053004,0.053004,0.141343,0.026502,0.008834,0.238516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Terry Rozier,BOS,5,98.6,9,23,4,11,2,2,2,5,3,14,17,6,1,3,24,17.03.1994,185.0,190.0,86.0,United States,Hargrave Military Academy ,1.0,16.0,Boston Celtics,terry rozier,PG/SG,184.15,188.6,86.27,203.84,250.19,5.6,20.96,21.59,2015,0.091278,0.233266,0.040568,0.111562,0.020284,0.020284,0.020284,0.05071,0.030426,0.141988,0.172414,0.060852,0.010142,0.030426,0.243408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Dwight Powell,DAL,4,63.9,9,19,0,1,6,11,1,5,9,8,17,4,1,0,24,20.07.1991,211.0,240.0,109.0,Canada,IMG Academy,2.0,15.0,Charlotte Hornets,dwight powell,PF,207.01,210.82,106.32,214.63,266.7,6.2,22.86,23.5,2014,0.140845,0.29734,0.0,0.015649,0.093897,0.172144,0.015649,0.078247,0.140845,0.125196,0.266041,0.062598,0.015649,0.0,0.375587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Mike Muscala,ATL,9,66.8,10,20,2,6,2,2,3,6,7,10,17,3,0,1,24,01.07.1991,211.0,240.0,109.0,United States,Roseville High School,2.0,14.0,Dallas Mavericks,mike muscala,C/PF,208.92,212.09,104.42,215.9,274.32,6.8,21.59,22.86,2013,0.149701,0.299401,0.02994,0.08982,0.02994,0.02994,0.04491,0.08982,0.10479,0.149701,0.254491,0.04491,0.0,0.01497,0.359281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Cole Aldrich,LAC,6,76.9,10,15,0,0,3,6,2,11,8,22,30,3,6,3,23,31.10.1988,211.0,253.0,115.0,United States,Bloomington Jefferson High School,1.0,11.0,New Orleans Pelicans,cole aldrich,C,205.74,211.46,107.05,225.42,283.21,8.5,22.86,23.5,2010,0.130039,0.195059,0.0,0.0,0.039012,0.078023,0.026008,0.143043,0.104031,0.286086,0.390117,0.039012,0.078023,0.039012,0.29909,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
